[2021-05-21 19:05:37.881951 +09:00] KRW-HUNT, last: 399, min: 374
[2021-05-21 19:05:38.868529 +09:00] KRW-HUNT, last: 400, min: 374
[2021-05-21 19:05:39.861213 +09:00] KRW-HUNT, last: 399, min: 373
[2021-05-21 19:05:40.860359 +09:00] KRW-HUNT, last: 400, min: 373
[2021-05-21 19:05:41.866467 +09:00] KRW-HUNT, last: 400, min: 373
[2021-05-21 19:05:42.885443 +09:00] KRW-HUNT, last: 400, min: 373
[2021-05-21 19:05:43.872183 +09:00] KRW-HUNT, last: 401, min: 373
[2021-05-21 19:05:44.840938 +09:00] KRW-HUNT, last: 399, min: 373
[2021-05-21 19:05:45.864199 +09:00] KRW-HUNT, last: 399, min: 373
[2021-05-21 19:05:46.904374 +09:00] KRW-HUNT, last: 400, min: 373
[2021-05-21 19:05:47.900573 +09:00] KRW-HUNT, last: 401, min: 373
[2021-05-21 19:05:48.865250 +09:00] KRW-HUNT, last: 402, min: 374
[2021-05-21 19:05:49.887111 +09:00] KRW-HUNT, last: 403, min: 374
[2021-05-21 19:05:50.902692 +09:00] KRW-HUNT, last: 403, min: 375
[2021-05-21 19:05:51.863076 +09:00] KRW-HUNT, last: 403, min: 375
[2021-05-21 19:05:52.887500 +09:00] KRW-HUNT, last: 402, min: 375
[2021-05-21 19:05:53.850784 +09:00] KRW-HUNT, last: 403, min: 375
[2021-05-21 19:05:54.865313 +09:00] KRW-HUNT, last: 403, min: 375
[2021-05-21 19:05:55.887087 +09:00] KRW-HUNT, last: 402, min: 375
[2021-05-21 19:05:56.871571 +09:00] KRW-HUNT, last: 403, min: 374
[2021-05-21 19:05:57.854928 +09:00] KRW-HUNT, last: 402, min: 375
[2021-05-21 19:05:58.881215 +09:00] KRW-HUNT, last: 398, min: 375
[2021-05-21 19:05:59.867163 +09:00] KRW-HUNT, last: 400, min: 375
[2021-05-21 19:06:00.861967 +09:00] KRW-HUNT, last: 400, min: 375
[2021-05-21 19:06:01.890460 +09:00] KRW-HUNT, last: 401, min: 375
[2021-05-21 19:06:02.916683 +09:00] KRW-HUNT, last: 401, min: 375
[2021-05-21 19:06:03.866827 +09:00] KRW-HUNT, last: 401, min: 375
[2021-05-21 19:06:04.883036 +09:00] KRW-HUNT, last: 400, min: 376
[2021-05-21 19:06:05.841875 +09:00] KRW-HUNT, last: 398, min: 375
[2021-05-21 19:06:06.899445 +09:00] KRW-HUNT, last: 399, min: 375
[2021-05-21 19:06:08.006639 +09:00] KRW-HUNT, last: 400, min: 377
[2021-05-21 19:06:08.868212 +09:00] KRW-HUNT, last: 400, min: 376
[2021-05-21 19:06:09.923062 +09:00] KRW-HUNT, last: 400, min: 376
[2021-05-21 19:06:10.881828 +09:00] KRW-HUNT, last: 400, min: 376
[2021-05-21 19:06:11.881505 +09:00] KRW-HUNT, last: 399, min: 376
[2021-05-21 19:06:12.861654 +09:00] KRW-HUNT, last: 400, min: 376
[2021-05-21 19:06:13.846571 +09:00] KRW-HUNT, last: 400, min: 376
[2021-05-21 19:06:14.904497 +09:00] KRW-HUNT, last: 400, min: 376
[2021-05-21 19:06:15.861854 +09:00] KRW-HUNT, last: 399, min: 376
[2021-05-21 19:06:16.885717 +09:00] KRW-HUNT, last: 399, min: 376
[2021-05-21 19:06:17.904024 +09:00] KRW-HUNT, last: 399, min: 376
[2021-05-21 19:06:18.863633 +09:00] KRW-HUNT, last: 399, min: 376
[2021-05-21 19:06:19.891946 +09:00] KRW-HUNT, last: 399, min: 376
[2021-05-21 19:06:20.904475 +09:00] KRW-HUNT, last: 399, min: 376
[2021-05-21 19:06:21.874004 +09:00] KRW-HUNT, last: 399, min: 376
[2021-05-21 19:06:22.865354 +09:00] KRW-HUNT, last: 399, min: 377
[2021-05-21 19:06:23.907928 +09:00] KRW-HUNT, last: 398, min: 376
[2021-05-21 19:06:24.864359 +09:00] KRW-HUNT, last: 398, min: 378
[2021-05-21 19:06:25.884696 +09:00] KRW-HUNT, last: 398, min: 378
[2021-05-21 19:06:42.865200 +09:00] KRW-HUNT, last: 398, min: 378
[2021-05-21 19:06:44.885162 +09:00] KRW-HUNT, last: 398, min: 378
[2021-05-21 19:08:30.869926 +09:00] KRW-HUNT, last: 393, min: 373
[2021-05-21 19:08:32.897900 +09:00] KRW-HUNT, last: 392, min: 372
[2021-05-21 19:08:33.868795 +09:00] KRW-HUNT, last: 392, min: 372
[2021-05-21 19:08:34.888258 +09:00] KRW-HUNT, last: 392, min: 372
[2021-05-21 19:08:35.850376 +09:00] KRW-HUNT, last: 392, min: 372
[2021-05-21 19:08:36.878076 +09:00] KRW-HUNT, last: 392, min: 371
[2021-05-21 19:08:37.892309 +09:00] KRW-HUNT, last: 392, min: 372
[2021-05-21 19:08:39.088670 +09:00] KRW-HUNT, last: 392, min: 372
